epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6067,1.68356,1.37096,1.21102,0.43699,0.47147,0.49234,0.28608,1.7338,1.6181,1.27912,0.000195833,0.000195833,0.0806125
2,62.2884,1.66322,1.3472,1.18978,0.72245,0.49259,0.56723,0.33067,1.66207,1.50746,1.2856,0.000395443,0.000395443,0.0608121
3,92.1296,1.68966,1.34584,1.21965,0.55189,0.60349,0.54116,0.28378,1.67061,1.49672,1.28887,0.000593484,0.000593484,0.0410102
4,121.719,1.67693,1.35905,1.21626,0.51678,0.60486,0.60258,0.33336,1.68543,1.3749,1.29416,0.000788786,0.000788786,0.0212055
5,150.455,1.67572,1.34306,1.21398,0.58516,0.5566,0.56847,0.28916,1.71838,1.44177,1.31679,0.000980192,0.000980192,0.00139686
6,179.509,1.71184,1.35877,1.21625,0.41128,0.59312,0.57542,0.33059,1.68476,1.48431,1.31492,0.000975531,0.000975531,0.000975531
7,208.145,1.69208,1.36781,1.24436,0.58291,0.53907,0.54592,0.30754,1.7005,1.51848,1.29098,0.000964892,0.000964892,0.000964892
8,236.897,1.65812,1.32513,1.19947,0.71136,0.56809,0.5831,0.3261,1.66951,1.4724,1.29347,0.000952418,0.000952418,0.000952418
9,265.671,1.61663,1.27912,1.19015,0.45192,0.62459,0.5564,0.3137,1.61062,1.40059,1.30746,0.00093816,0.00093816,0.00093816
10,294.586,1.69576,1.33377,1.19854,0.53781,0.59713,0.58554,0.29668,1.77961,1.36813,1.36742,0.000922172,0.000922172,0.000922172
11,323.35,1.64515,1.31894,1.2331,0.58283,0.54311,0.57516,0.34457,1.64352,1.50761,1.28443,0.000904518,0.000904518,0.000904518
12,352.128,1.66275,1.27652,1.17185,0.54197,0.5817,0.56945,0.30258,1.74503,1.4611,1.31352,0.000885268,0.000885268,0.000885268
13,380.717,1.67145,1.30364,1.19832,0.76037,0.49934,0.56396,0.30927,1.69185,1.48634,1.32029,0.000864498,0.000864498,0.000864498
14,409.493,1.65319,1.29552,1.20781,0.53425,0.62182,0.60564,0.35563,1.67539,1.38558,1.2987,0.000842289,0.000842289,0.000842289
15,438.365,1.66226,1.27165,1.19788,0.5297,0.63343,0.59321,0.33348,1.64522,1.37408,1.29658,0.00081873,0.00081873,0.00081873
16,467.149,1.63545,1.27596,1.21464,0.5269,0.59283,0.59645,0.35765,1.59892,1.35655,1.26578,0.000793913,0.000793913,0.000793913
17,496.168,1.67956,1.27521,1.18739,0.6144,0.62527,0.62935,0.35774,1.6722,1.32227,1.29315,0.000767937,0.000767937,0.000767937
18,524.902,1.62997,1.22091,1.16074,0.58245,0.63654,0.60687,0.36685,1.63291,1.3104,1.2771,0.000740903,0.000740903,0.000740903
19,553.858,1.60495,1.20033,1.15537,0.67678,0.59384,0.62475,0.34986,1.69853,1.30288,1.31166,0.000712918,0.000712918,0.000712918
20,582.418,1.61552,1.22041,1.17997,0.70157,0.58118,0.63469,0.37838,1.6188,1.28901,1.28515,0.000684094,0.000684094,0.000684094
21,611.256,1.58414,1.212,1.15954,0.5808,0.66228,0.64701,0.36331,1.72349,1.27628,1.31277,0.000654543,0.000654543,0.000654543
22,640.225,1.58396,1.15395,1.15273,0.59548,0.64913,0.64955,0.37825,1.61042,1.33251,1.28025,0.000624383,0.000624383,0.000624383
23,669.342,1.63879,1.19712,1.16584,0.60785,0.62292,0.60789,0.35011,1.66769,1.31669,1.29585,0.000593731,0.000593731,0.000593731
24,698.235,1.5967,1.17366,1.15506,0.56564,0.65437,0.63069,0.35334,1.70489,1.27988,1.30728,0.00056271,0.00056271,0.00056271
25,727.186,1.54899,1.16646,1.15095,0.60441,0.66193,0.65446,0.39468,1.63082,1.2343,1.26999,0.000531442,0.000531442,0.000531442
26,755.929,1.56228,1.1344,1.13761,0.76135,0.61383,0.65316,0.38088,1.64829,1.24299,1.27978,0.00050005,0.00050005,0.00050005
27,784.528,1.56385,1.12107,1.13667,0.6106,0.63519,0.64261,0.37605,1.656,1.23936,1.29695,0.000468658,0.000468658,0.000468658
28,813.347,1.60142,1.15508,1.16991,0.60486,0.63293,0.63741,0.39106,1.64754,1.25257,1.2753,0.00043739,0.00043739,0.00043739
29,842.157,1.56625,1.15007,1.1489,0.59067,0.65922,0.6476,0.38517,1.63043,1.27167,1.28245,0.000406369,0.000406369,0.000406369
30,871.029,1.51319,1.11005,1.12301,0.6085,0.65393,0.64618,0.3715,1.67402,1.23583,1.30234,0.000375717,0.000375717,0.000375717
31,900.057,1.55445,1.12917,1.14101,0.65805,0.64902,0.65922,0.38133,1.68546,1.25094,1.29881,0.000345557,0.000345557,0.000345557
32,929.587,1.54867,1.14198,1.14185,0.58744,0.67304,0.65657,0.37879,1.68105,1.21058,1.29456,0.000316006,0.000316006,0.000316006
33,959.828,1.49295,1.1148,1.13772,0.59823,0.67017,0.65688,0.37503,1.66503,1.21754,1.29615,0.000287182,0.000287182,0.000287182
34,989.471,1.51931,1.07716,1.12306,0.60877,0.67023,0.65978,0.37991,1.66744,1.2352,1.28514,0.000259197,0.000259197,0.000259197
35,1019.06,1.4847,1.07229,1.11419,0.62182,0.65676,0.66042,0.38032,1.68438,1.22663,1.28754,0.000232163,0.000232163,0.000232163
36,1049.93,1.47467,1.09698,1.11551,0.62804,0.6666,0.66832,0.38546,1.65647,1.20195,1.29153,0.000206187,0.000206187,0.000206187
37,1079.13,1.48465,1.04855,1.10185,0.62918,0.65583,0.66393,0.38428,1.65434,1.21462,1.28737,0.00018137,0.00018137,0.00018137
38,1108.25,1.51438,1.08605,1.13417,0.576,0.67903,0.65918,0.38596,1.66062,1.21193,1.28231,0.000157811,0.000157811,0.000157811
39,1137.38,1.45712,1.07826,1.11697,0.62601,0.6512,0.65632,0.38403,1.66875,1.234,1.28164,0.000135602,0.000135602,0.000135602
40,1167.38,1.47587,1.05384,1.10152,0.6761,0.63846,0.66417,0.39064,1.66121,1.21111,1.28027,0.000114832,0.000114832,0.000114832
41,1197.57,1.45187,1.07753,1.10775,0.70936,0.62563,0.66912,0.3899,1.66247,1.2116,1.28142,9.5582e-05,9.5582e-05,9.5582e-05
42,1228.14,1.4301,1.04664,1.10721,0.69893,0.64594,0.67522,0.38921,1.66198,1.19711,1.28514,7.79283e-05,7.79283e-05,7.79283e-05
43,1257.3,1.44668,1.06093,1.10512,0.63666,0.67245,0.67178,0.39138,1.64545,1.18349,1.27935,6.19405e-05,6.19405e-05,6.19405e-05
44,1286.07,1.42289,1.05471,1.09529,0.66963,0.64877,0.67094,0.39612,1.63262,1.18506,1.27515,4.76817e-05,4.76817e-05,4.76817e-05
45,1314.95,1.42916,1.03386,1.10484,0.6908,0.64097,0.6651,0.39722,1.63066,1.19294,1.27801,3.52082e-05,3.52082e-05,3.52082e-05
46,1343.83,1.42781,1.04295,1.10141,0.70974,0.62961,0.66557,0.39568,1.63526,1.18977,1.28039,2.45693e-05,2.45693e-05,2.45693e-05
47,1373.77,1.41685,1.04558,1.10295,0.58796,0.68241,0.66739,0.3932,1.64066,1.19274,1.28289,1.58068e-05,1.58068e-05,1.58068e-05
48,1402.89,1.4301,1.06866,1.11512,0.71124,0.62229,0.66316,0.39206,1.63975,1.1848,1.28188,8.95549e-06,8.95549e-06,8.95549e-06
49,1432.02,1.42293,1.03607,1.10146,0.65372,0.64236,0.66509,0.39153,1.64314,1.1856,1.28489,4.04226e-06,4.04226e-06,4.04226e-06
50,1461.7,1.39883,1.02652,1.08986,0.58576,0.6762,0.66516,0.39068,1.64537,1.1883,1.28572,1.08654e-06,1.08654e-06,1.08654e-06
